index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
204,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,0.990,ACER,4,14,False,True,True,True,True,False
205,Entre 400 et 600,AMD Athlon,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
206,Entre 600 et 800,Intel Core i7,8,1920x1080,512,Windows 10,1.60,ASUS,4,14,False,False,False,False,False,False
208,Entre 800 et 1150,Intel Core i7,16,,256,Windows 10,1.64,ACER,4,15.6,False,False,False,False,False,False
209,Entre 400 et 600,Intel Core i3,4,1920x1080,256,Windows 11,1.64,HP,4,15.6,False,False,False,False,False,False
210,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.9,ACER,4,15.6,False,True,True,True,True,False
211,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.46,HP,6,16.1,False,True,True,True,True,True
212,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.7,LENOVO,2,15.6,False,True,True,True,True,True
213,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
214,Entre 600 et 800,Intel Core i5,16,1920x1080,256,Windows 10,1.64,ACER,4,15.6,False,False,False,False,False,False
216,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 10,1.85,LENOVO,4,15.6,False,True,True,True,False,True
217,>1150,AMD Ryzen,16,3840x2400,1000,Windows 10,1.3,ASUS,8,13.4,False,True,True,True,True,False
218,>1150,Intel Core i7,16,2560x1600,1000,Windows 10,2.2,MSI,8,16,False,True,False,True,True,True
221,Entre 400 et 600,Intel Core i5,4,1920x1080,256,Windows 10,1.85,LENOVO,4,15.6,False,False,False,False,False,False
222,>1150,Intel Core i7,8,1920x1080,512,Windows 10,1.65,MSI,4,15.6,False,True,True,True,True,True
223,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,ACER,4,17.3,False,False,False,False,False,False
225,Entre 800 et 1150,Intel Core i5,16,2256x1504,256,Windows 11,1.288,MICROSOFT,4,13.5,False,True,False,True,True,False
226,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.46,HP,4,14,False,True,True,True,True,True
227,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 10,1.64,HP,4,17.3,False,False,False,False,False,False
228,Entre 600 et 800,Intel Core i3,8,1920x1080,512,Windows 10,1.46,HP,2,14,False,True,True,True,True,True
231,Entre 800 et 1150,Intel Core i5,8,2256x1504,128,Windows 10,1.64,MICROSOFT,4,13.5,False,True,False,True,True,False
232,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.29,MSI,4,14,False,True,False,True,True,True
233,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 10,1.64,ACER,4,14,False,False,False,False,False,False
234,>1150,Intel Core i7,8,1920x1080,512,Windows 10,1.6,MSI,6,15.6,False,True,True,True,True,True
237,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 10,0.980,HP,6,15.6,False,True,True,True,True,True
239,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2,ASUS,4,15.6,False,True,True,True,False,False
240,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 11,1.64,HP,4,15.6,False,False,False,False,False,False
241,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.9,MSI,8,17.3,False,True,True,True,True,True
242,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,1.75,HP,6,15.6,False,True,True,True,True,True
243,Entre 600 et 800,Intel Core i3,8,,256,Windows 10,1.64,ASUS,2,17.3,False,True,True,True,True,True
244,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 11,2.3,ASUS,6,15.6,False,True,True,True,True,False
245,>1150,Intel Core i5,16,1920x1080,512,Windows 11,2,ASUS,4,15.6,False,True,True,True,False,False
247,Entre 400 et 600,Intel Core i3,4,1366x768,1000,Windows 10,1.9,ACER,2,15.6,False,True,True,True,True,False
248,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2.33,MSI,6,15.6,False,True,True,True,True,True
251,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
256,Entre 600 et 800,Intel Core i5,8,1920x1080,256,ChromeOS,1.5,HP,4,14,False,True,True,True,True,True
258,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,2.48,HP,6,15.6,False,True,True,True,True,True
259,>1150,Intel Core i7,16,1920x1080,512,Windows 11,1.29,LENOVO,4,13.3,False,True,True,True,True,True
261,Entre 600 et 800,AMD Ryzen,8,1920x1080,256,Windows 11,1.64,ACER,4,15.6,False,True,True,True,True,False
263,Entre 400 et 600,Intel Core i3,8,1600x900,256,Windows 10,1.64,LENOVO,4,17.3,False,False,False,False,False,False
265,Entre 400 et 600,Intel Core i3,4,1920x1080,64,ChromeOS,1.5,HP,2,14,False,True,True,True,True,True
267,>1150,Intel Core i5,8,2048.1536,512,Windows 11,0.999,LENOVO,4,13.3,False,True,False,False,True,False
268,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 11,2,TOSHIBA,4,15.6,False,True,True,True,True,True
269,Entre 800 et 1150,Intel Core i5,16,1920x1080,256,Windows 11,1.64,HP,4,15.6,False,False,False,False,False,False
272,>1150,AMD Ryzen,2,2560x1440,1000,Windows 10,1.64,ASUS,4,14,False,False,False,False,False,False
273,>1150,Intel Core i7,16,1920x1080,512,Windows 11,2.07,LENOVO,6,15.6,False,True,True,True,True,True
275,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
276,>1150,Apple M1,16,2560x1600,256,MacOS,1.29,APPLE,8,13.3,False,True,False,False,True,False
277,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,2.7,ASUS,8,17.3,False,True,True,True,False,False
279,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,2.46,HP,8,15.6,False,True,True,True,True,True
281,>1150,Intel Core i5,8,1920x1080,256,Windows 11,1.4,DELL,4,14,False,True,True,True,True,True
283,>1150,AMD Ryzen,16,1920x1080,512,Windows 10,2.3,ASUS,8,15.6,False,True,True,True,False,False
284,Entre 800 et 1150,Intel Core i5,8,1366x768,256,Windows 11,1.41,LENOVO,2,11.6,False,True,True,True,True,True
287,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 11,1.64,HP,4,17.3,False,False,False,False,False,False
289,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
291,>1150,Intel Core i7,16,3840x2400,1000,Windows 11,1.95,ASUS,4,16,False,False,False,False,False,False
292,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 10,1.64,HP,4,14,False,False,False,False,False,False
293,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,1.5,ASUS,4,14,False,True,True,True,True,True
294,>1150,Intel Core i7,16,3840x2160,1000,Windows 11,2.1,MSI,8,15.6,False,True,True,True,True,True
297,>1150,Intel Core i7,16,1920x1080,512,Windows 11,1.29,MSI,4,14,False,True,False,True,True,True
298,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.01,RAZER,8,15.6,False,True,True,True,True,True
299,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
300,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
302,>1150,AMD Ryzen,16,1920x1080,512,Windows 10,1.9,MSI,8,15.6,False,True,True,True,True,False
303,Entre 600 et 800,Intel Core i3,8,1920x1080,256,Windows 11,1.64,LENOVO,2,14,False,True,True,True,True,False
304,>1150,Intel Core i5,8,1920x1080,256,Windows 11,1.36,LENOVO,4,14,False,True,True,True,True,False
305,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
306,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
307,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
308,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.3,MSI,4,14,False,True,True,True,True,True
309,Entre 600 et 800,Intel Core i5,16,1920x1080,512,Windows 10,1.6,MSI,4,15.6,False,True,True,True,True,True
310,Entre 250 et 400,Intel Celeron,4,1366x768,128,Windows 10,1.64,LENOVO,2,14,False,True,True,True,True,True
311,Entre 600 et 800,Intel Core i5,8,1600x900,256,Windows 10,1.64,LENOVO,4,17.3,False,False,False,False,False,False
312,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
313,Entre 400 et 600,Intel Core i3,4,1366x768,128,Windows 10,1.78,HP,2,15.6,False,True,True,True,True,True
314,Entre 400 et 600,Intel Core i5,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
316,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
317,Entre 600 et 800,Intel Core i3,8,1920x1080,256,Windows 11,2.36,HP,2,17.3,False,True,True,True,True,True
318,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 11,1.8,ACER,4,15.6,False,True,True,True,True,True
319,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
320,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
321,>1150,Intel Core i7,16,3840x2160,1000,Windows 10,2.9,MSI,8,17.3,False,True,True,True,True,True
322,Entre 800 et 1150,Intel Core i7,8,1920x1080,512,Windows 10,1.6,MSI,4,15.6,False,True,True,True,True,True
323,Entre 400 et 600,AMD Ryzen,4,1920x1080,256,Windows 10,1.9,ACER,2,15.6,False,True,True,True,True,False
325,>1150,Intel Core i7,16,2560x1440,1000,Windows 11,2.38,MSI,8,15.6,False,True,True,True,True,True
326,>1150,Apple M1,16,2560x1600,2000,MacOS,1.4,APPLE,4,13.3,False,True,False,False,True,False
327,Entre 800 et 1150,Intel Core i5,8,2256x1504,128,Windows 11,1.265,MICROSOFT,4,13.5,False,True,False,True,True,False
328,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
329,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
330,Entre 800 et 1150,Intel Core i5,8,1920x1080,64,ChromeOS,1.5,HP,4,14,False,True,True,True,True,True
331,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2,ASUS,4,15.6,False,True,True,True,False,False
332,Entre 400 et 600,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
333,>1150,Intel Core i7,16,2560x1440,1000,Windows 10,2.38,MSI,8,15.6,False,True,True,True,True,True
334,Entre 800 et 1150,Intel Core i7,8,1920x1080,512,Windows 11,0.980,ACER,4,14,False,True,True,True,True,False
335,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
340,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
343,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
344,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2,ASUS,4,15.6,False,True,True,True,False,False
346,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
347,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
349,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
351,>1150,Apple M1,16,2560x1600,512,MacOS,1.29,APPLE,4,13.3,False,True,False,False,True,False
353,Entre 400 et 600,Intel Pentium,8,1920x1080,32,ChromeOS,1.4,ASUS,4,15.6,False,True,False,True,True,True
354,>1150,Apple M1,16,2560x1600,256,MacOS,1.29,APPLE,8,13.3,False,True,False,False,True,False
355,Entre 600 et 800,Intel Core i3,8,1920x1280,128,Windows 11,0.553,MICROSOFT,2,10.5,False,True,False,True,True,True
356,Entre 400 et 600,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
359,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
361,>1150,Intel Core i7,16,1920x1080,512,Windows 11,2.2,ACER,6,15.6,False,True,True,True,True,True
362,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.1,MSI,8,15.6,False,True,True,True,True,False
363,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.41,RAZER,4,13.3,False,True,False,True,True,False
366,Entre 800 et 1150,Intel Core i5,8,1920x1080,64,ChromeOS,1.5,HP,4,14,False,True,True,True,True,True
367,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
369,Entre 600 et 800,Intel Core i3,4,1920x1080,256,Windows 10,1.64,ASUS,4,15.6,False,False,False,False,False,False
370,>1150,Intel Core i7,16,2560x1440,1000,Windows 11,2.1,MSI,8,15.6,False,True,True,True,True,False
371,Entre 800 et 1150,Intel Core i7,8,1920x1080,256,Windows 11,1.8,ACER,4,15.6,False,True,True,True,True,True
372,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
373,Entre 600 et 800,Intel Core i3,8,1920x1080,32,ChromeOS,1.6,ACER,2,14,False,True,False,True,True,True
374,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
375,Entre 800 et 1150,AMD Ryzen,4,1920x1080,128,ChromeOS,1.497,LENOVO,2,13.3,False,True,True,True,True,True
379,Entre 800 et 1150,Intel Core i5,8,2256x1504,256,Windows 10,1.64,MICROSOFT,4,13.5,False,True,False,True,True,False
381,>1150,Intel Core i5,16,1920x1080,1000,Windows 10,2.1,MSI,6,15.6,False,True,True,True,True,False
382,Entre 800 et 1150,Apple M1,8,2560x1600,256,MacOS,1.29,APPLE,8,13.3,False,True,False,True,True,False
385,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 10,2.25,LENOVO,6,15.6,False,True,True,True,True,False
386,Entre 600 et 800,Intel Core i3,8,1920x1080,256,Windows 10,1.64,ACER,4,15.6,False,False,False,False,False,False
390,Entre 250 et 400,AMD Athlon,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
391,Entre 800 et 1150,Intel Core i5,8,1920x1080,256,Windows 11,1.6,ACER,4,14,False,True,True,True,True,True
393,Entre 400 et 600,AMD Ryzen,8,1920x1080,512,Windows 10,1.69,HP,6,15.6,False,True,True,True,True,True
394,Entre 400 et 600,AMD A4,4,1920x1080,32,ChromeOS,1.64,LENOVO,2,14,False,True,False,True,True,True
395,Entre 600 et 800,AMD Ryzen,8,,256,Windows 10,1.64,ACER,4,15.6,False,False,False,False,False,False
396,Entre 250 et 400,Intel Celeron,6,1920x1080,256,Windows 10,1.64,KUU,4,15.6,False,False,False,False,False,False
397,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
399,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
400,>1150,Intel Core i7,16,1920x1080,512,Windows 11,2.2,ACER,6,15.6,False,True,True,True,True,False
403,Entre 800 et 1150,Apple M1,8,2560x1600,256,MacOS,1.29,APPLE,8,13.3,False,True,False,True,True,False
404,Entre 400 et 600,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
405,Entre 400 et 600,Intel Core i3,4,1920x1080,128,Windows 10,1.5,ACER,2,14,False,True,True,True,True,True
409,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
412,>1150,Intel Core i7,16,1920x1080,256,ChromeOS,1.14,ASUS,4,14,False,True,False,True,True,True
413,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.01,RAZER,8,15.6,False,True,True,True,True,True
416,>1150,Intel Core i7,64,1920x1200,1000,Windows 11,2.39,ASUS,6,17,False,True,True,True,True,True
417,>1150,Intel Core i7,16,1920x1080,1000,Windows 11,2.45,MSI,8,17.3,False,True,True,True,True,True
419,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
420,>1150,Intel Core i7,16,2560x1440,1000,Windows 10,1.99,RAZER,8,15.6,False,True,True,True,True,True
421,Entre 800 et 1150,Intel Core i7,8,1920x1080,256,Windows 11,1.64,LENOVO,4,14,False,True,True,True,True,False
422,>1150,Intel Core i7,16,3840x2160,1000,Windows 11,3.5,LENOVO,8,17.3,False,True,True,True,True,True
423,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,HP,4,14,False,False,False,False,False,False
424,>1150,Intel Core i5,8,1920x1080,256,Windows 10,2.5,ACER,4,15.6,False,True,True,True,True,True
425,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
427,>1150,Intel Core i7,16,1920x1080,256,Windows 10,1.64,ASUS,4,15.6,False,False,False,False,False,False
429,Entre 400 et 600,AMD Radeon,8,,256,Windows 10,1.64,HP,4,14,False,False,False,False,False,False
430,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
431,>1150,Intel Core i7,8,1920x1080,256,Windows 11,1.75,HP,4,15.6,False,True,True,True,True,True
433,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.75,RAZER,8,17.3,False,True,True,True,True,True
434,Entre 400 et 600,Intel Core i3,4,1920x1280,64,Windows 11,0.544,MICROSOFT,2,10.5,False,True,False,True,True,True
436,Entre 600 et 800,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
437,Entre 800 et 1150,Intel Core i5,8,1920x1080,64,ChromeOS,1.6,HP,4,14,False,True,False,True,True,True
440,Entre 800 et 1150,Intel Core i5,8,2256x1504,256,Windows 11,1.265,MICROSOFT,4,13.5,False,True,False,True,True,False
443,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 11,1.4,ACER,4,14,False,True,True,False,True,True
445,Entre 250 et 400,Intel Celeron,8,1920x1080,2000,Windows 10,1.93,THOMSON,4,15.6,False,True,True,True,True,True
446,>1150,Apple M1,8,2560x1600,512,MacOS,1.29,APPLE,8,13.3,False,True,False,True,True,False
447,Entre 800 et 1150,Intel Core i7,8,1920x1080,256,Windows 11,1.8,ACER,4,15.6,False,True,True,True,True,True
448,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2.07,RAZER,6,15.6,False,True,True,True,True,False
450,>1150,Intel Core i7,16,3840x2160,512,Windows 11,2.1,ACER,6,15.6,False,True,True,True,True,False
451,Entre 600 et 800,AMD Radeon,8,1920x1080,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
455,>1150,Intel Core i7,16,2560x1440,1000,Windows 10,2.75,RAZER,8,17.3,False,True,True,True,True,True
456,>1150,Intel Core i5,8,1920x1080,512,Windows 11,0.9809,TOSHIBA,4,13.3,False,True,True,True,True,True
457,>1150,Intel Core i7,16,,256,Windows 10,1.64,RAZER,8,15.6,False,False,False,False,False,False
458,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
460,>1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
463,Entre 250 et 400,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
468,>1150,Intel Core i7,16,3840x2160,512,Windows 11,2.1,ACER,6,15.6,False,True,True,True,True,False
471,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,2.75,RAZER,8,17.3,False,True,True,True,True,True
476,>1150,Apple M1,16,2560x1600,1000,MacOS,1.29,APPLE,4,13.3,False,True,False,False,True,False
478,>1150,Intel Core i7,16,2256x1504,1000,Windows 11,1.288,MICROSOFT,4,13.5,False,True,False,True,True,False
