index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
74,Entre 800 et 1150,Intel Core i5,8,,512,Windows 10,2.7,ACER,4,17.3,False,True,False,False,False,False
75,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 10,1.76,KUU,4,15.6,False,True,True,False,False,True
76,<250,Intel Celeron,4,1920x1080,64,Windows 10,1.25,AUTRES,2,14.1,True,True,True,False,False,False
77,Entre 250 et 400,MediaTek,4,1920x1080,256,ChromeOS,450,LENOVO,8,10.1,True,True,False,False,False,False
78,Entre 250 et 400,MediaTek,4,1920x1080,256,ChromeOS,450,LENOVO,8,10.1,True,True,False,False,False,False
80,>1150,AMD Ryzen,16,1920x1080,256,Windows 10,1.64,ASUS,1,15.6,True,True,False,False,False,True
81,Entre 600 et 800,Intel Celeron,8,1920x1080,256,Windows 11,1.64,AUTRES,4,15.6,True,False,False,False,True,False
82,>1150,Intel Core i7,16,,512,Windows 10,1.000,MICROSOFT,4,15,False,True,False,False,False,False
83,Entre 250 et 400,Intel Atom,4,1920x1080,128,Windows 10,1.23,AUTRES,2,13.3,False,False,False,False,False,False
84,Entre 250 et 400,Intel Core i5,8,1920x1080,128,Windows 11,1.5,AUTRES,2,15.6,False,True,True,False,False,False
85,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 11,1.64,AUTRES,4,15.6,False,False,True,False,False,False
86,>1150,AMD Ryzen,8,1920x1080,512,Windows 10,2.600,ACER,1,15,True,True,False,False,False,False
87,Entre 600 et 800,Intel Core i3,16,,256,Windows 10,1.200,LENOVO,2,23.8,False,True,False,False,False,False
88,Entre 400 et 600,Intel Core i3,8,1920x1080,512,Windows 10,1.41,LENOVO,2,14,False,True,False,False,False,False
89,Entre 250 et 400,Intel Pentium,4,,128,Windows 10,2.2,ACER,4,14,False,False,False,False,False,False
90,Entre 400 et 600,Intel Celeron,8,,256,Windows 10,2.5,LENOVO,1,15.6,False,False,False,False,False,False
91,Entre 250 et 400,Intel Atom,4,1920x1080,64,Windows 10,0.7,AUTRES,4,11.6,False,True,False,False,False,False
92,Entre 250 et 400,Intel Core i5,16,,180,Windows 10,1.8,HP,2,14.1,False,True,True,False,False,False
93,Entre 400 et 600,Intel Celeron,8,1920x1080,512,Windows 11,2,AUTRES,4,15.6,False,True,True,False,False,False
94,>1150,Intel Core i7,16,1920x1080,256,Aucun,1.64,ASUS,8,15.6,True,True,False,False,False,True
95,Entre 250 et 400,Intel Celeron,6,1920x1080,128,Windows 10,1.8,TECLAST,2,15.6,True,True,False,False,False,False
96,Entre 400 et 600,Intel Celeron,2,1920x1080,256,Windows 10,1.4,AUTRES,4,14,True,True,True,False,False,False
97,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.26,ASUS,4,14,True,True,True,False,False,True
98,Entre 600 et 800,AMD Ryzen,8,,128,Windows 10,2.97,HP,6,17.3,True,True,True,False,False,False
99,Entre 250 et 400,Intel Celeron,8,1920x1080,128,Windows 11,1.64,AUTRES,4,15.6,False,True,True,False,True,False
100,>1150,Intel Core i7,8,1920x1080,256,Windows 10,1.64,DELL,1,13.3,True,True,False,False,True,True
101,>1150,Intel Core i7,8,1920x1080,256,Windows 10,1.64,DELL,1,13.3,True,True,False,False,True,True
102,Entre 400 et 600,Intel Core i3,8,,256,Windows 10,2.2,LENOVO,1,17.3,True,True,True,False,False,False
103,Entre 800 et 1150,Intel Core i5,512,1920x1080,256,Windows 10,3.500,ACER,1,17.3,False,True,False,False,False,False
104,Entre 400 et 600,Intel Celeron,8,2160x1440,256,Windows 10,1.5,AUTRES,4,14,False,True,False,False,False,True
105,Entre 600 et 800,Intel Celeron,8,1920x1080,256,Windows 10,1.64,ACER,1,14,False,True,False,False,False,False
106,<250,Intel Atom,6,1366x768,128,Windows 10,1.1,KUU,4,13.3,True,True,True,False,False,True
107,Entre 800 et 1150,Intel Core i5,8,,256,Windows 11,3,ACER,2,17,False,True,False,False,False,False
108,Entre 250 et 400,Intel Celeron,8,1920x1080,128,Windows 11,1.5,AUTRES,4,15.6,True,True,True,False,True,False
109,Entre 600 et 800,AMD Ryzen,8,1920x1080,256,Windows 10,1.4,ASUS,4,14,True,True,True,False,False,False
110,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.050,AUTRES,1,15.6,True,True,True,False,False,False
111,<250,Intel Celeron,4,1366x768,64,Windows 10,1.4,AUTRES,4,14,True,True,True,False,True,True
112,Entre 400 et 600,Intel Celeron,8,1920x1080,256,Windows 10,2,AUTRES,2,15.6,True,True,True,False,False,False
113,>1150,Intel Celeron,16,1920x1080,512,Windows 11,1.64,HP,6,15.6,True,True,True,False,False,False
114,Entre 600 et 800,Intel Core i3,4,,256,Windows 10,1,ASUS,1,14,False,True,False,False,False,False
115,Entre 600 et 800,Intel Celeron,8,1920x1080,256,Windows 11,1.64,DELL,4,14,False,False,False,False,False,False
116,Entre 250 et 400,Intel Celeron,4,1366x768,64,ChromeOS,1.1,AUTRES,1,11.6,True,True,False,False,False,False
117,Entre 600 et 800,Intel Celeron,8,1920x1080,256,Windows 11,1.64,DELL,4,14,False,False,False,False,False,False
118,Entre 250 et 400,Intel Core i5,8,1920x1080,256,Windows 11,1.5,AUTRES,2,15.6,False,True,True,False,True,False
119,Entre 800 et 1150,Intel Core i7,8,1920x1080,512,Windows 11,1.3,ASUS,4,14,True,True,True,False,False,True
121,Entre 400 et 600,AMD A4,8,1366x768,480,Windows 11,1.8,AUTRES,2,38.6,True,True,True,False,False,True
122,>1150,Intel Core i7,8,1920x1080,512,Windows 10,2.34,DELL,1,15.6,False,True,True,False,True,False
123,Entre 400 et 600,Intel Celeron,8,1366x768,256,Windows 11,1.64,AUTRES,2,15.6,True,False,False,False,True,False
124,<250,Intel Atom,2,1280x800,32,Windows 10,1.2,AUTRES,4,10.1,False,True,True,False,True,False
125,Entre 800 et 1150,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,23.8,False,True,False,False,False,False
126,>1150,Intel Core i7,16,3840x2160,1000,Windows 10,1.920,HP,6,15.6,True,False,True,False,False,False
127,>1150,Intel Celeron,16,2280x1920,512,Windows 11,0.89,MICROSOFT,4,13,True,True,False,False,False,False
128,Entre 250 et 400,Intel Core i5,8,1920x1080,128,Windows 11,1.5,AUTRES,2,15.6,False,True,True,False,False,False
129,Entre 800 et 1150,Intel Core i3,8,,256,Windows 10,5,ASUS,4,17,False,True,False,False,False,False
130,Entre 400 et 600,AMD A9,4,,256,Windows 10,2.6,HP,2,15,False,True,False,False,False,False
131,Entre 400 et 600,Intel Celeron,8,1920x1080,256,Windows 10,1.1,AUTRES,4,11.6,True,True,True,False,False,True
132,Entre 600 et 800,Intel Celeron,2,1920x1080,512,Windows 10,1.9,LENOVO,2,15.6,True,False,True,False,True,False
133,Entre 250 et 400,Intel Celeron,4,3000x2000,128,Windows 10,1.64,KUU,1,13.5,False,True,False,False,False,False
134,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 11,1.400,AUTRES,4,15.6,True,True,True,False,True,False
135,Entre 400 et 600,AMD Ryzen,256,1920x1080,256,Windows 10,2.43,ACER,1,14,False,True,True,False,True,False
136,Entre 400 et 600,Intel Core i5,8,,250,Windows 11,1.64,LENOVO,4,14,False,True,False,False,True,False
137,Entre 250 et 400,Intel Celeron,8,1920x1080,128,Windows 11,1.9,AUTRES,4,15.6,False,True,True,False,True,False
138,Entre 800 et 1150,Intel Celeron,8,1920x1080,256,Windows 10,1.64,LENOVO,4,15.6,False,False,True,False,False,False
139,Entre 250 et 400,Intel Celeron,4,1366x768,256,Windows 10,1.64,THOMSON,1,14.1,True,True,True,False,True,False
140,Entre 250 et 400,Intel Celeron,6,3000x2000,128,Windows 10,1.64,KUU,4,13.5,True,True,True,False,False,False
141,>1150,Intel Core i7,2,,512,Windows 11,1,ASUS,1,14,False,True,False,False,False,False
142,Entre 250 et 400,Intel Celeron,4,1366x768,128,Windows 10,1.2,AUTRES,2,14.1,True,True,False,False,False,False
143,Entre 600 et 800,Intel Celeron,64,1536x1024,256,Windows 10,1.11,MICROSOFT,4,12.45,False,False,False,False,False,False
144,Entre 250 et 400,AMD Ryzen,8,1368x768,256,Windows 11,1.64,LENOVO,2,15.6,False,False,False,False,False,False
145,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 10,1.9,AUTRES,4,15.6,True,True,True,False,False,True
146,Entre 250 et 400,Intel Celeron,8,1920x1080,128,Windows 10,1.64,AUTRES,1,14.4,False,False,False,False,False,True
147,Entre 250 et 400,Intel Celeron,4,,256,Windows 11,0.820,AUTRES,4,14.1,True,True,True,False,False,False
148,Entre 400 et 600,Intel Core i5,4,1920x1080,256,Windows 10,1.8,LENOVO,1,15.6,True,True,True,False,False,False
149,Entre 250 et 400,Intel Celeron,6,,256,Windows 10,1.64,AUTRES,4,14.1,True,False,False,False,False,False
150,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 10,1.850,LENOVO,4,15.6,True,True,True,False,False,False
151,Entre 400 et 600,Intel Celeron,2,1920x1080,512,Windows 10,1.34,AUTRES,4,14.1,False,True,False,False,False,False
152,Entre 250 et 400,Intel Celeron,8,1920x1080,128,Windows 11,1.5,AUTRES,4,15.6,True,True,True,False,True,True
153,Entre 400 et 600,AMD Athlon,8,1920x1080,256,Windows 11,1.85,LENOVO,1,15.6,True,True,True,False,False,False
154,<250,Intel Atom,64,1366x768,64,Windows 10,1.3,THOMSON,4,14.1,True,True,True,False,False,True
155,Entre 800 et 1150,Intel Core i5,8,1920x1080,256,Windows 10,2.65,DELL,6,15.6,True,True,True,False,False,False
156,Entre 600 et 800,Intel Celeron,64,1536x1024,256,Windows 10,1.11,MICROSOFT,4,12.45,False,False,False,False,False,False
158,<250,Intel Atom,2,1366x768,32,Windows 10,1.19,AUTRES,4,29.4,True,True,True,False,False,True
159,>1150,Intel Core i7,512,3000x2000,512,Windows 10,3.319,MICROSOFT,1,13.5,True,True,False,False,False,False
160,<250,Intel Atom,2,1920x1080,32,Windows 10,1,AUTRES,4,10.1,True,True,True,False,False,True
161,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,1.41,LENOVO,6,14,False,True,False,False,False,False
162,Entre 800 et 1150,Intel Core i5,128,2736x1824,128,Windows 10,1.3,MICROSOFT,4,13,False,True,False,False,False,False
163,Entre 400 et 600,Intel Celeron,8,1920x1280,256,Windows 11,0.54,MICROSOFT,2,10.5,True,True,False,False,False,False
164,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,AUTRES,2,14,False,True,False,False,False,True
165,Entre 600 et 800,Intel Xeon,2,1920x1080,1000,Windows 11,2.350,HP,8,15.6,True,True,True,False,False,False
166,Entre 400 et 600,Intel Celeron,4,,256,Windows 11,1,ASUS,1,14,False,True,False,False,False,False
167,Entre 250 et 400,Intel Core i9,4,1920x1080,64,Windows 10,1.3,AUTRES,1,14,True,True,True,False,False,False
168,Entre 600 et 800,Intel Core i3,8,,256,Windows 10,1,ASUS,1,17.3,False,True,False,False,False,False
170,Entre 250 et 400,Intel Celeron,4,3000x2000,128,Windows 10,1.64,KUU,1,13.5,False,True,False,False,False,False
171,Entre 250 et 400,Intel Atom,4,1920x1080,64,Windows 10,1.12,AUTRES,4,11.6,True,True,True,False,False,False
172,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 10,2.460,HP,6,15.6,True,True,True,False,False,False
173,Entre 250 et 400,Intel Core i5,4,,320,Windows 10,1.4,LENOVO,2,12.5,True,True,False,False,True,True
174,Entre 400 et 600,Intel Celeron,8,1920x1080,256,Windows 10,1.64,AUTRES,1,14.1,False,False,False,False,True,False
175,Entre 250 et 400,Intel Celeron,8,1920x1080,128,Windows 11,1.5,AUTRES,4,15.6,True,True,True,False,True,False
176,Entre 400 et 600,Intel Celeron,4,1920x1080,256,ChromeOS,1.64,HP,4,14,False,False,False,False,False,False
177,Entre 800 et 1150,AMD Ryzen,2,1920x1080,256,Windows 10,1.74,HP,2,15.6,True,True,False,False,True,False
178,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 11,1.64,KUU,4,15.6,False,True,True,False,False,True
179,Entre 250 et 400,Snapdragon,4,1920x1080,64,Windows 10,1.64,THOMSON,1,13,False,True,False,False,False,False
180,Entre 800 et 1150,Intel Celeron,16,1920x1080,512,Windows 11,1.64,DELL,4,15.6,False,True,False,False,True,False
181,Entre 250 et 400,Apple M1,8,,256,MacOS,1.64,APPLE,4,15.6,False,False,False,False,False,False
182,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,1.41,LENOVO,6,14,False,True,False,False,False,False
183,Entre 250 et 400,AMD Ryzen,4,,256,ChromeOS,1.05,ACER,1,11,True,True,False,False,False,False
184,Entre 800 et 1150,AMD Ryzen,8,1920x1080,1000,Windows 10,1.85,LENOVO,4,15.6,False,True,False,False,True,False
185,>1150,Intel Celeron,16,,512,Windows 10,1.64,MSI,4,15.6,False,False,False,False,False,False
186,Entre 250 et 400,Intel Celeron,8,1366x768,250,Windows 10,1.76,DELL,2,14.1,False,True,True,False,False,True
187,>1150,Intel Core i5,16,1920x1080,256,Windows 10,1.64,LENOVO,6,15.6,False,True,False,False,True,False
188,Entre 400 et 600,Intel Celeron,8,1920x1080,256,Windows 10,1.64,AUTRES,1,14.1,False,False,False,False,True,False
189,>1150,Intel Core i5,8,,512,Windows 10,2.7,ACER,4,17.3,False,True,False,False,False,False
190,Entre 250 et 400,Intel Celeron,6,1920x1080,64,Windows 10,1.64,NBD,2,14.1,False,True,True,False,False,False
191,Entre 800 et 1150,Intel Core i5,8,3840x2160,256,Windows 10,0.95,AUTRES,1,13.3,False,True,False,False,False,False
192,Entre 600 et 800,Intel Core i3,8,1920x1080,256,Windows 11,1,ASUS,1,14,True,True,False,False,False,False
193,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 10,1.25,AUTRES,4,14,True,True,False,False,False,False
194,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 10,1.64,DELL,1,15.6,True,True,True,False,True,False
195,Entre 250 et 400,Apple M1,8,,256,MacOS,1.64,APPLE,4,15.6,False,False,False,False,False,False
196,Entre 800 et 1150,Intel Core i5,8,1920x1080,256,Windows 10,1,ASUS,4,23.6,False,True,False,False,True,False
197,Entre 400 et 600,AMD Athlon,8,1920x1080,256,Windows 10,1.64,AUTRES,2,21.5,False,False,False,False,True,False
198,Entre 400 et 600,Intel Celeron,8,,256,Windows 11,2.37,HP,2,15.6,False,True,False,False,True,False
199,>1150,Intel Core i7,6,1920x1080,512,Windows 10,1.000,DELL,1,15.6,True,True,True,False,True,False
200,>1150,Intel Core i7,6,1920x1080,512,Windows 10,1.000,DELL,1,15.6,True,True,True,False,True,False
201,Entre 600 et 800,AMD Ryzen,8,,512,Windows 10,1,HP,6,15,False,True,True,False,True,False
202,Entre 400 et 600,Intel Celeron,8,1920x1080,500,Windows 10,1.400,HP,2,14,True,False,False,False,False,False
203,Entre 600 et 800,Intel Core i5,4,1920x1080,512,Windows 10,1.85,LENOVO,4,15.6,True,True,True,False,True,False
204,Entre 250 et 400,Intel Celeron,6,3000x2000,128,Windows 10,1.64,KUU,4,13.5,True,True,True,False,False,False
205,>1150,AMD Ryzen,8,2560x1440,1000,Windows 10,2.7,RAZER,8,14,False,True,False,False,True,False
206,Entre 800 et 1150,AMD Ryzen,8,1366x768,500,Windows 10,2,HP,2,15.6,True,True,True,False,True,True
207,Entre 400 et 600,Intel Celeron,4,1600x900,500,Windows 10,2.65,HP,1,17.3,False,True,True,False,False,False
208,Entre 600 et 800,Intel Celeron,8,,512,Windows 10,1,ACER,4,14,False,False,False,False,False,False
209,Entre 800 et 1150,AMD Ryzen,8,1920x1080,1000,Windows 10,1.85,LENOVO,4,15.6,False,True,False,False,True,False
210,Entre 400 et 600,Intel Core i3,8,,256,Windows 11,1.64,HP,1,12.5,False,False,False,False,False,False
211,>1150,Intel Core i7,16,1920x1080,512,Windows 10,1.3,MSI,4,14,True,True,False,False,False,False
212,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 10,1.3,TECLAST,4,14.1,True,True,True,False,False,False
213,Entre 600 et 800,Intel Core i3,128,1600x900,1000,Windows 10,3,ACER,2,17.3,False,True,True,False,False,False
214,Entre 600 et 800,Intel Celeron,2,1920x1080,756,Windows 11,1.64,ASUS,2,15.6,True,True,False,False,False,False
215,>1150,Intel Core i7,16,1920x1080,512,Windows 11,2.0,ASUS,4,15.6,True,True,True,False,False,False
216,Entre 600 et 800,Intel Celeron,2,1920x1080,756,Windows 11,1.64,ASUS,2,15.6,True,True,False,False,False,False
217,>1150,Intel Core i7,16,1920x1080,512,Windows 11,2.0,ASUS,4,15.6,True,True,True,False,False,False
220,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 11,1.850,LENOVO,4,15.6,True,True,True,False,False,False
221,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 11,1.400,AUTRES,4,15.6,True,True,True,False,True,False
222,Entre 250 et 400,Intel Celeron,4,1920x1080,64,Windows 10,1.64,NBD,2,14.1,False,True,True,False,False,True
223,Entre 250 et 400,AMD Ryzen,4,,256,ChromeOS,1.05,ACER,1,11,True,True,False,False,False,False
224,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 11,1.850,LENOVO,4,15.6,True,True,True,False,False,False
225,Entre 250 et 400,Intel Celeron,4,1920x1080,64,Windows 10,1.64,NBD,2,14.1,False,True,True,False,False,True
226,Entre 250 et 400,AMD Ryzen,4,,256,ChromeOS,1.05,ACER,1,11,True,True,False,False,False,False
227,Entre 800 et 1150,Intel Celeron,16,1920x1080,512,Windows 10,2.95,ACER,4,15.6,False,False,False,False,False,False
228,Entre 800 et 1150,Intel Core i7,8,1366x768,500,Windows 7 Pro,1.340,HP,2,12.5,True,True,False,False,False,True
230,Entre 250 et 400,Intel Celeron,4,1920x1080,256,Windows 10,1,LENOVO,2,15.6,False,True,True,False,False,False
231,<250,Cortex A8,1,1024x600,8,Android,1.64,AUTRES,4,10,True,False,True,False,True,False
232,Entre 400 et 600,Intel Core i5,8,,180,Windows 11,1.5,HP,1,12.5,False,True,False,False,True,True
233,Entre 800 et 1150,Intel Celeron,8,,512,Windows 10,5,MSI,4,15.6,False,False,False,False,False,False
234,>1150,Intel Core i7,16,1920x1080,1000,Windows 10,3.2,DELL,1,17.3,True,True,True,False,False,False
235,Entre 250 et 400,Intel Celeron,6,1280x800,128,Windows 10,1,AUTRES,4,10.1,False,True,True,False,False,False
237,>1150,Intel Core i7,8,,1000,Windows 10,1.64,RAZER,8,15.6,False,True,False,False,False,False
238,>1150,AMD Ryzen,16,1920x1080,1000,Windows 10,1.980,HP,8,15.6,True,True,True,False,False,False
239,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 11,1.7,LENOVO,4,15.6,True,True,True,False,False,False
240,>1150,Intel Core i7,8,1920x1080,512,Windows 10,1.16,DELL,1,13,True,False,False,False,False,False
241,Entre 600 et 800,Intel Core i5,8,1920x1080,256,DOS,1.740,HP,4,15.6,True,True,True,False,False,False
242,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 10,1.850,LENOVO,2,15.6,True,True,True,False,False,False
243,Entre 250 et 400,Intel Pentium,4,,64,Windows 10,1,ACER,1,14,False,True,False,False,False,False
244,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 10,1.850,LENOVO,2,15.6,True,True,True,False,False,False
245,Entre 250 et 400,Intel Pentium,4,,64,Windows 10,1,ACER,1,14,False,True,False,False,False,False
246,>1150,Intel Core i7,512,,512,Windows 10,1.64,RAZER,1,17.3,False,True,False,False,False,False
247,Entre 250 et 400,Intel Celeron,4,1920x1080,64,Windows 10,1.400,AUTRES,2,13.3,False,True,False,False,False,False
248,Entre 250 et 400,Intel Celeron,4,1920x1080,64,Windows 10,1.23,AUTRES,2,13.3,False,True,True,False,False,False
249,Entre 400 et 600,Intel Core i5,8,,180,Windows 11,1.5,HP,1,12.5,False,True,False,False,True,True
250,Entre 800 et 1150,Intel Core i7,16,1920x1080,512,Windows 11,2.5,ASUS,1,14,True,True,False,False,False,False
251,Entre 400 et 600,Intel Celeron,8,1366x768,256,Windows 11,1.5,HP,2,14,True,True,True,False,True,True
252,Entre 400 et 600,Intel Celeron,2,1920x1080,256,Windows 10,1.5,TECLAST,4,14,False,True,True,False,False,False
253,Entre 400 et 600,Intel Celeron,4,1368x768,256,Windows 10,1.8,ASUS,2,15.6,True,True,True,False,False,True
